TIC,sector,crowd sap
327587572,19,0.9033941
247923021,6,0.80247349
247923021,33,0.79591125
149505899,23,0.98672062
147921014,14,0.91878229
147921014,20,0.8425414
147921014,21,0.90471995
471015233,25,0.6312297
383553764,19,0.9995569
383553764,20,0.9995535
383553764,25,0.99948734
166698220,2,0.99601531
166698220,3,0.99602395
166698220,29,0.99598336
166698220,30,0.99600536
41232189,3,0.99989194
41232189,6,0.99980974
41232189,9,0.99988478
41232189,10,0.99990314
41232189,13,0.99995404
41232189,30,0.999915
41232189,33,0.99988461
41232189,36,0.99990141
41232189,37,0.99991703
298165335,16,0.99997377
298165335,22,0.99996668
298165335,23,0.99992657
198456033,14,0.99972844
198456033,15,0.99945176
198456033,16,0.99950284
198456033,17,0.99955106
198456033,18,0.99969518
198456033,19,0.99968553
198456033,20,0.99966753
198456033,21,0.99955654
198456033,22,0.99956876
198456033,23,0.99973905
198456033,24,0.99924773
198456033,25,0.99946356
198456033,26,0.99876553
181240911,10,0.99336994
165370459,22,0.96898526
165370459,23,0.96982783
219752116,24,0.99152565
27533327,14,0.63014066
27533327,15,0.82815546
39464221,25,0.99826276
39464221,26,0.99796164
441120034,1,0.99939746
441120034,28,0.99939924
140282069,5,0.99980778
140282069,6,0.99970609
140282069,32,0.99948859
140282069,33,0.99972391
32869782,6,0.99771661
32869782,32,0.99758905
32869782,33,0.99763578
365653206,13,0.99429798
365653206,39,0.98505867
229980646,10,0.98369884
229980646,37,0.98401874
