info from ,,White dwarf Teff and log g from:,,,,,,,,,
TIC and ,,"Bedard, et. al, The Astrophysical Journal, Volume 848, Issue 1, article id. 11, 24 pp. (2017).",,,,,,,,,
montrealwhitedwarfdatabase,,"Gianninas, et. al, The Astrophysical Journal, Volume 743, Issue 2, article id. 138, 27 pp. (2011).",,,,,,,,,
,,"McCook, et. al, VizieR On-line Data Catalog: B/wd. Originally published in: 1999ApJS..121....1M (2016).",,,,,,,,,
Star Name,TIC ID,Spectral Type,ra,dec,Tmag,Vmag,Kmag,Teff,logg,,
P330E,8591766,G2V,247.890885,30.1462218,12.4257,13.063,11.432,5643,4.31,,
HD 186427,27533327,G2/3V,295.466555,50.5175239,5.6281,6.215,4.651,5747,4.35,,
HD 38949,32869782,G1V,87.0835787,-24.463848,7.2676,7.8,6.442,6050,4.47,,
HD 159222,39464221,G1V,263.004134,34.2711475,5.944,6.544,4.998,5870,4.40,,
HD 42525,41232189,A0V,91.5390898,-66.03962,5.7525,5.72,5.751,10345,4.08,,
HD 142331,54837036,G2V,238.582452,-8.5803801,8.108,8.72,7.125,5690,4.40,,bedard
HD 37725,75586606,A4V,85.4765403,29.297488,8.19662,8.306,7.902,8204,4.33,,
HD 2811,80313923,A3V,7.82704127,-43.606389,7.3671,7.53,7.057,8317,3.59,,gianninas
HD 146233,135656809,G2V,243.905293,-8.3694395,4.9069,5.49518,4.186,5791,4.42,,
HD 37962,140282069,G2V,85.2165246,-31.351107,7.2448,7.84,6.268,5739,4.55,,McCook
C26202,144599609,F8V,53.1369704,-27.863429,15.9834,16.564,14.824,6119,4.68,,
WD1057+719,147921014,DA1.2,165.142681,71.6341443,15.1199,14.871,15.468,42050,7.85,,
GD153,149505899,DA1,194.259677,22.0312873,13.7296,13.456,14.308,40320,7.93,,
HD 116405,165370459,B9V,200.688016,44.7149753,8.3976,8.34819,8.476,11531,4.10,,
HD 14943,166698220,A6V,35.7278136,-51.092128,5.7492,5.9,5.439,7898,4.15,,
HD 101452,181240911,A9mIV,175.056879,-39.146576,7.2752,7.55,6.819,7521,3.81,,
HD 158485,198456033,A3V,261.520154,58.6518976,6.3767,6.495,6.145,8360,3.91,,
SNAP-2,207440438,G2V,244.942095,55.5716285,15.6203,16.34,14.489,5704,4.49,,
1757132,219094190,A3V,269.305139,67.061326,11.5978,12.011,11.155,7667,4.11,,
1808347,219114641,A3V,272.144734,69.4579778,11.9159,11.685,11.532,8009,4.21,,
BD+60 1753,219752116,A1V,261.217822,60.4307724,9.6947,9.65,9.645,9890,4.21,,
HD 163466,219820925,A6V,268.105732,60.3963723,6.68109,6.87927,6.339,7929,3.51,,
1732526,219897252,A3V,263.219293,71.0786447,12.4628,12.215,12.254,8652,4.44,,
HD 180609,229945862,A3V,288.196665,64.176993,9.3392,9.43,9.117,8644,3.82,,
HD 115169,229980646,G2V,198.947451,-29.505884,8.6598,9.26,7.707,5767,4.44,,
1802271,233067231,A3V,270.613203,60.7265532,12.0011,11.533,11.832,9505,4.21,,
1805292,233075513,A1V,271.371981,64.4644797,12.2337,12.739,12.005,8683,4.20,,
1812095,233095291,A2V,273.039863,63.4950719,11.5985,12.008,11.286,8123,3.92,,
1743045,233205654,A5V,265.768691,66.9171285,13.2978,13.542,12.772,7572,4.13,,
GD71,247923021,DA1,88.1150822,15.887008,13.4191,13.087,14.115,33590,7.93,,
HD 128998,298165335,A1V,219.563424,54.0233402,5.84397,5.83085,5.756,9462,3.90,,
SF1615+001A,315627636,G1V,244.559332,0.00239142,16.1061,16.7529,15.315,5867,4.53,,
G191-B2B,327587572,DA0,76.3775762,52.8310891,12.169,11.86,12.764,60701,7.53,,
LDS749B,352817378,DBQ4,323.067636,0.25399954,14.7779,14.761,15.217,14383,8.27,,
HD 167060,365653206,G2V,274.433929,-61.708784,8.357,8.93,7.431,5841,4.39,,
HD 166205,383553764,A1V,263.054183,86.5864553,4.3554,4.35133,4.258,9070,3.90,,
HD 106252,397558558,G0,183.372958,10.0416358,6.8503,7.41,5.929,5878,4.37,,
P177D,417544924,G2V,239.806577,47.6116403,12.8921,13.504,11.861,5820,4.28,,
HD 209458,420814525,F8V,330.794887,18.884319,7.1274,7.65,6.308,6052,4.34,,
HD 55677,440765193,A4V,108.630374,13.8602182,9.3811,9.41,9.156,8940,3.46,,
HD 205905,441120034,G2V,324.792296,-27.306574,6.1715,6.75,5.321,5924,4.44,,
WD1657+343,471015233,DA1,254.713,34.3148,15.75,16.42,N/A,53760,7.62,,
